iter	RMSE
224	85743.45994
225	85557.77776
226	85452.89181
227	85410.74868
228	85252.92339
229	85202.59863
230	85164.65857
231	85127.03122
232	85028.9493
233	84935.75575
234	84694.30202
235	84462.50111
236	84414.1212
237	84234.63031
238	84059.19624
239	83959.78089
240	83847.19089
241	83806.86904
242	83766.16259
243	83601.81985
244	83562.35889
245	83463.6188
246	83426.21752
247	83389.98532
248	83354.87603
249	83320.84579
250	83287.85345
251	83255.86018
252	83224.82909
253	83194.72563
254	83165.517
255	83137.17176
256	83109.66002
257	83082.95365
258	83057.0258
259	83031.85059
260	82915.11847
261	82801.82932
262	82778.26072
263	82571.0251
264	82548.01938
265	82426.71743
266	82324.97023
267	82230.58411
268	82134.74851
269	82113.22114
270	82010.28334
271	81811.57594
272	81645.81277
273	81417.2972
274	81328.89158
275	81209.87318
276	81168.6766
277	81148.19223
278	80971.17479
279	80755.72054
280	80735.81222
281	80569.73319
282	80487.25247
283	80365.46934
284	80260.14392
285	80086.88365
286	80009.81051
287	79970.14671
288	79801.35393
289	79784.22408
290	79699.54939
291	79658.88853
292	79502.16251
293	79301.16271
294	79173.58857
295	79110.44405
296	79079.15206
297	79041.01971
298	78840.03075
299	78649.94547
300	78564.56646
301	78428.48379
302	78389.03344
303	78352.82915
304	78315.47109
305	78169.30523
306	78131.48764
307	77940.38964
308	77811.33543
309	77657.18892
310	77528.36357
311	77341.89774
312	77307.56776
313	77168.5921
314	77066.85793
315	76957.93104
316	76904.14237
317	76815.56514
318	76780.34139
319	76671.82661
320	76599.444
321	76581.82608
322	76531.33052
323	76359.00966
324	76246.95224
325	76118.90927
326	76070.38291
327	76034.81593
328	75899.8361
329	75869.67436
330	75739.28814
331	75616.07938
332	75514.14016
333	75391.60105
334	75278.84268
335	75154.91297
336	75067.64997
337	74958.83472
338	74794.57855
339	74684.31271
340	74569.28953
341	74451.94365
342	74351.68111
343	74223.39707
344	74101.40611
345	73980.58518
346	73968.49451
347	73903.95473
348	73794.96791
349	73678.31616
350	73574.71985
351	73450.49381
352	73369.36696
353	73223.37985
354	73167.82496
355	73133.63358
356	73030.28791
357	72893.80181
358	72884.1655
359	72851.69851
360	72756.50305
361	72651.64718
362	72619.74708
363	72588.88769
364	72490.50336
365	72373.11753
366	72305.92633
367	72275.51339
368	72217.10308
369	72111.33137
370	72017.12173
371	71988.09456
372	71910.48538
373	71780.95014
374	71742.85394
375	71708.27094
376	71664.51738
377	71549.12681
378	71490.52919
379	71402.46963
380	71300.13223
381	71254.61549
382	71176.34945
383	71058.28448
384	71040.1121
385	71022.58856
386	70921.83921
387	70809.81669
388	70743.0391
389	70640.07686
390	70520.66544
391	70425.37994
392	70333.80758
393	70243.48082
394	70152.10106
395	70113.90635
396	70080.36055
397	69972.82896
398	69939.08643
399	69852.5929
400	69775.83513
401	69699.95661
402	69618.63643
403	69576.49702
404	69502.86814
405	69487.14692
406	69404.09292
407	69373.35372
408	69305.35203
409	69215.34558
410	69165.73642
411	69073.1628
412	69002.50577
413	68893.21205
414	68878.21649
415	68812.87394
416	68710.06402
417	68609.0954
418	68582.28902
419	68507.19579
420	68434.70969
421	68338.75182
422	68263.87391
423	68206.16776
424	68167.99929
425	68073.71358
426	68059.6639
427	67988.51273
428	67926.70609
429	67853.58913
430	67801.20343
431	67758.08679
432	67670.32254
433	67592.8644
434	67490.25482
435	67468.53331
436	67447.53475
437	67362.84358
438	67265.15272
439	67233.44424
440	67214.28002
441	67150.51183
442	67100.29307
443	67022.30822
444	66950.99494
445	66930.67579
446	66861.10764
447	66846.47815
448	66762.96439
449	66743.20596
450	66689.00042
451	66617.16447
452	66554.55721
453	66513.49347
454	66447.13426
455	66378.81327
456	66321.53437
457	66303.6317
458	66284.60592
459	66214.06521
460	66195.6897
461	66124.02239
462	66061.93076
463	66005.72949
464	65988.48796
465	65945.79338
466	65836.18904
467	65824.10825
468	65810.6716
469	65751.88451
470	65665.73412
471	65564.56698
472	65551.62123
473	65506.25848
474	65450.12187
475	65378.89074
476	65320.873
477	65234.72678
478	65160.32046
479	65144.10844
480	65045.45367
481	64965.74347
482	64898.94336
483	64858.89068
484	64818.54499
485	64807.7693
486	64793.57065
487	64783.48495
488	64693.94112
489	64595.04454
490	64581.88568
491	64564.05191
492	64547.42062
493	64486.2932
494	64419.49933
495	64389.52708
496	64372.17444
497	64308.07919
498	64260.09874
499	64244.48977
500	64186.51335
501	64153.83156
502	64121.33481
503	64070.61844
504	64018.61268
505	63974.87163
506	63901.32749
507	63855.337
508	63795.54213
509	63778.31273
510	63706.73842
511	63695.33999
512	63684.38442
513	63646.54511
514	63631.7329
515	63573.80376
516	63510.97023
517	63470.67699
518	63446.73995
519	63384.96585
520	63340.10555
521	63311.00724
522	63226.98935
523	63209.61287
524	63155.8269
525	63106.16982
526	63079.48009
527	63034.32299
528	63019.34126
529	63004.26198
530	62977.27848
531	62940.31264
532	62916.86995
533	62849.17805
534	62827.6653
535	62813.2751
536	62766.58295
537	62677.29984
538	62612.71983
539	62572.22836
540	62517.76071
541	62464.87401
542	62421.30196
543	62386.98687
544	62348.41325
545	62290.01736
546	62244.15881
547	62215.08757
548	62155.27607
549	62096.4915
550	62039.59913
551	62013.21215
552	61962.71084
553	61880.55999
554	61841.666
555	61805.87348
556	61740.86683
557	61687.06876
558	61632.56153
559	61584.02623
560	61542.4345
561	61524.30494
562	61487.12021
563	61453.68516
564	61422.37251
565	61392.67327
566	61354.56723
567	61297.62028
568	61283.61276
569	61231.38777
570	61218.99397
571	61182.50744
572	61120.16838
573	61106.59129
574	61057.47435
575	61008.60704
576	60956.47087
577	60876.56988
578	60831.01906
579	60778.03423
580	60729.82883
581	60710.51748
582	60678.99097
583	60651.42606
584	60613.219
585	60566.3141
586	60526.24542
587	60489.69729
588	60456.03814
589	60424.59485
590	60400.92066
591	60390.30852
592	60365.15756
593	60351.6173
594	60316.04819
595	60268.46782
596	60258.14425
597	60232.04221
598	60188.56053
599	60139.90441
600	60078.94935
601	60067.86249
602	60026.20731
603	59982.19534
604	59972.82406
605	59924.38067
606	59914.5983
607	59871.99456
608	59834.75195
609	59824.00986
610	59810.93591
611	59766.7083
612	59722.5058
613	59679.98953
614	59633.34752
615	59594.93888
616	59550.59632
617	59498.3456
618	59464.21936
619	59443.93822
620	59399.78803
621	59333.91605
622	59281.99523
623	59261.51616
624	59198.61494
625	59157.22358
626	59128.33975
627	59090.34872
628	59059.89758
629	59013.5451
630	58962.80717
631	58923.41688
632	58887.40376
633	58837.46695
634	58832.00705
635	58791.94086
636	58751.24136
637	58697.86398
638	58685.42956
639	58680.17913
640	58668.22298
641	58617.57747
642	58590.47459
643	58556.65727
644	58508.98317
645	58460.34001
646	58424.26447
647	58390.17489
648	58352.24785
649	58333.58005
650	58283.20304
651	58235.20246
652	58192.67008
653	58165.51874
654	58128.58972
655	58088.83338
656	58062.74191
657	58042.83549
658	58006.88872
659	57989.05728
660	57940.03118
661	57908.24333
662	57886.30716
663	57852.14354
664	57817.89693
665	57803.48955
666	57776.33963
667	57746.23524
668	57729.13073
669	57719.91985
670	57703.49014
671	57643.16861
672	57631.87947
673	57628.39973
674	57617.04604
675	57606.87471
676	57599.96932
677	57561.95268
678	57516.71045
679	57478.14243
680	57467.21916
681	57424.94376
682	57407.80836
683	57401.17938
684	57376.64981
685	57370.24836
686	57338.29732
687	57310.92595
688	57295.2908
689	57289.10482
690	57273.4407
691	57267.4658
692	57252.40621
693	57232.05951
694	57226.18821
695	57183.25406
696	57168.76276
697	57154.81647
698	57152.48845
699	57121.74111
700	57089.88264
701	57077.41599
702	57038.35167
703	56995.19644
704	56946.2494
705	56907.06341
706	56880.11391
707	56855.40709
708	56825.32664
709	56814.66199
710	56801.17335
711	56791.14664
712	56778.15364
713	56731.40464
714	56718.45098
715	56669.84793
716	56635.21366
717	56607.70126
718	56567.50781
719	56539.0386
720	56516.77027
721	56489.66425
722	56478.70903
723	56436.13894
724	56404.14107
725	56384.82799
726	56349.44323
727	56324.13236
728	56291.95247
729	56256.11528
730	56240.28295
731	56214.93208
732	56173.23071
733	56156.93847
734	56133.00637
735	56092.89752
736	56024.67754
737	55992.86141
738	55968.87484
739	55923.13316
740	55880.82777
741	55844.61479
742	55815.19468
743	55782.53461
744	55762.08998
745	55738.67446
746	55707.81827
747	55666.76382
748	55657.29678
749	55625.3601
750	55585.10364
751	55543.17717
752	55512.92119
753	55469.81169
754	55458.89737
755	55436.2168
756	55422.74939
757	55414.20393
758	55401.34347
759	55376.47978
760	55334.56854
761	55273.00181
762	55232.09963
763	55219.61931
764	55207.5877
765	55180.50573
766	55143.48913
767	55109.53854
768	55090.87096
769	55074.92126
770	55044.73299
771	55007.18376
772	54978.88205
773	54953.32093
774	54942.12696
775	54923.9195
776	54894.97482
777	54849.48347
778	54807.67922
779	54763.66972
780	54732.75136
781	54722.71941
782	54706.17573
783	54676.27391
784	54648.51323
785	54601.98961
786	54592.69534
787	54555.27425
788	54521.48408
789	54512.95108
790	54479.90973
791	54454.67884
792	54427.14312
793	54401.17202
794	54376.91506
795	54349.08303
796	54325.50215
797	54316.5623
798	54292.01311
799	54283.41227
800	54274.14349
801	54251.25255
802	54229.14874
803	54220.8552
804	54212.87662
805	54188.07917
806	54177.68899
807	54154.27195
808	54142.25563
809	54129.05074
810	54085.53825
811	54076.79458
812	54053.20819
813	54030.35893
814	53991.97143
815	53958.75892
816	53950.44097
817	53942.52884
818	53903.65402
819	53866.99305
820	53827.57376
821	53801.40225
822	53768.1038
823	53746.66938
824	53710.26996
825	53674.91279
826	53640.78155
827	53604.25001
828	53592.96555
829	53558.2363
830	53531.40228
831	53499.23263
832	53483.87524
833	53476.61766
834	53446.6917
835	53428.24503
836	53402.62436
837	53371.62602
838	53345.87539
839	53321.66069
840	53306.46838
841	53283.7764
842	53261.65233
843	53226.0664
844	53210.83518
845	53193.56298
846	53179.73454
847	53153.0844
848	53122.3458
849	53097.24073
850	53056.12503
851	53036.76816
852	52992.64278
853	52977.03772
854	52964.93423
855	52938.78432
856	52905.97126
857	52882.94028
858	52856.86636
859	52829.16305
860	52811.43257
861	52779.42914
862	52772.65688
863	52754.32286
864	52734.23999
865	52701.29331
866	52691.88316
867	52680.82571
868	52665.7351
869	52630.28371
870	52599.52176
871	52591.61525
872	52565.23953
873	52537.86343
874	52523.8574
875	52507.07195
876	52490.296
877	52471.98992
878	52436.85866
879	52403.80108
880	52377.17054
881	52361.32524
882	52324.70941
883	52318.37664
884	52261.6834
885	52245.20222
886	52223.24063
887	52175.22377
888	52142.38013
889	52090.10896
890	52064.8915
891	52034.5008
892	52003.16105
893	51994.19313
894	51965.68689
895	51946.19151
896	51919.38373
897	51888.17798
898	51873.71826
899	51865.21074
900	51840.32912
901	51814.35649
902	51767.69723
903	51750.83758
904	51739.6186
905	51720.55765
906	51688.66266
907	51676.01811
908	51672.36914
909	51646.48152
910	51622.05419
911	51592.41948
912	51540.47138
913	51516.5306
914	51467.76897
915	51431.03881
916	51408.39012
917	51358.01229
918	51344.0606
919	51295.05756
920	51276.12509
921	51242.32962
922	51210.33253
923	51181.86881
924	51154.43721
925	51135.80577
926	51126.68128
927	51095.10823
928	51087.99948
929	51073.24377
930	51041.83189
931	51009.22664
932	51001.12707
933	50984.80948
934	50971.47873
935	50958.5077
936	50927.54266
937	50887.48505
938	50874.01335
939	50846.1775
940	50816.57025
941	50782.48588
942	50768.59185
943	50752.01704
944	50728.62432
945	50692.81561
946	50682.69359
947	50671.77141
948	50645.337
949	50624.29578
950	50608.30954
951	50591.48029
952	50577.41932
953	50543.23372
954	50535.60113
955	50494.98653
956	50478.93353
957	50455.38171
958	50429.27282
959	50406.35888
960	50381.59121
961	50340.85425
962	50308.35987
963	50295.73892
964	50271.52305
965	50265.48178
966	50235.38465
967	50214.48126
968	50196.33302
969	50168.51196
970	50152.98856
971	50131.69796
972	50095.42362
973	50081.24503
974	50050.1534
975	50038.04821
976	50019.93582
977	50016.52229
978	50013.37525
979	50007.55546
980	49980.99815
981	49934.97698
982	49917.32986
983	49904.42375
984	49874.26279
985	49871.01035
986	49854.88367
987	49832.97145
988	49817.45855
989	49814.99868
990	49782.23297
991	49745.66009
992	49734.12239
993	49714.62887
994	49678.17524
995	49655.35618
996	49631.21647
997	49604.28771
998	49601.22091
999	49576.26825
